restaurant,dinesafe_infraction,ward,median_ward_income
NEW KANTAMANTO MARKET,NA,7,73000
NEW KANTAMANTO MARKET,M - Minor,7,73000
NEW KANTAMANTO MARKET,M - Minor,7,73000
NEW KANTAMANTO MARKET,NA,7,73000
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,C - Crucial,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,NA,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,NA,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,C - Crucial,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,NA,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,NA,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,M - Minor,16,78500
# HASHTAG INDIA RESTAURANT,NA,16,78500
# HASHTAG INDIA RESTAURANT,S - Significant,16,78500
'K' STORE,NA,13,65000
0109 Dessert + Chocolate,NA,22,77000
0109 Dessert + Chocolate,NA,22,77000
1 HOTEL - HARRIET'S,NA,10,89000
1 HOTEL - HARRIET'S,NA,10,89000
1 HOTEL - HARRIET'S,NA,10,89000
1 HOTEL TORONTO - 1 KITCHEN,NA,10,89000
1 HOTEL TORONTO - 1 KITCHEN,NA,10,89000
1 HOTEL TORONTO - 1 KITCHEN,NA,10,89000
1 HOTEL TORONTO - CASA MADERA,NA,10,89000
1 HOTEL TORONTO - CASA MADERA,NA,10,89000
1 HOTEL TORONTO - CASA MADERA,NA,10,89000
1 HOTEL TORONTO - FLORA LOUNGE,NA,10,89000
